page,car_name,model_variant,url,price_preview,name,model,prix,spec_Moteur & Infos techniquesAfficher-,spec_Conso. & performancesAfficher+,spec_Dimensions & volumesAfficher+,spec_SécuritéAfficher+,spec_ConfortAfficher+,spec_EsthétiqueAfficher+
1,Citroen AMI,6 kW AT Standard,https://www.wandaloo.com/neuf/citroen/ami/fiche-technique/6-kw-at-standard/19761.html,90.900DH,CITROEN AMI6 kW AT Standard neuve au Maroc - Fiche Technique,Mon comparatif,121.500DH *promo,Motorisation6 kWh; Motorisation; 6 kWh; EmplacementAvant; Emplacement; Avant; EnergieElectrique; Energie; Electrique; Puissance fiscale5cv; Puissance fiscale; 5cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); ArchitectureÉlectrique avant; Architecture; Électrique avant; Couple maxi.-Nm; Couple maxi.,Conso. mixte-kWh/100 km; Conso. mixte; -kWh/100 km; kWh/100 km; Vitesse maxi.45km/h; Vitesse maxi.; 45km/h; km/h; Accélération 0-100 km/h-sec.; Accélération 0-100 km/h; -sec.; sec.,CatégorieMicro citadine; Catégorie; Micro citadine; CarrosserieMini citadine; Carrosserie; Mini citadine; Nombre de places2; Nombre de places; Poids à vide485kg; Poids à vide; 485kg; Longueur241cm; Longueur; 241cm; Largeur1210cm; Largeur; 1210cm; Hauteur152cm; Hauteur; 152cm,Airbags0; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisation; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant; Commandes vocales; Volant réglableHauteur",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitPanoramique; Toit; Panoramique; Barres de toit; Vitres sur-teintées
1,Opel Rocks-e,6 kW AT Tekno,https://www.wandaloo.com/neuf/opel/rocks-e/fiche-technique/6-kw-at-tekno/20573.html,107.000DH,OPEL Rocks-e6 kW AT Tekno neuve au Maroc - Fiche Technique,Mon comparatif,125.000DH *promo,Motorisation6 kWh AT; Motorisation; 6 kWh AT; EmplacementAvant; Emplacement; Avant; EnergieElectrique; Energie; Electrique; Puissance fiscale5cv; Puissance fiscale; 5cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); ArchitectureÉlectrique avant; Architecture; Électrique avant; Couple maxi.-Nm; Couple maxi.,Conso. mixte-kWh/100 km; Conso. mixte; -kWh/100 km; kWh/100 km; Vitesse maxi.45km/h; Vitesse maxi.; 45km/h; km/h; Accélération 0-100 km/h-sec.; Accélération 0-100 km/h; -sec.; sec.,CatégorieMicro citadine; Catégorie; Micro citadine; CarrosserieMini citadine électrique; Carrosserie; Mini citadine électrique; Nombre de places2; Nombre de places; Poids à vide485kg; Poids à vide; 485kg; Longueur241cm; Longueur; 241cm; Largeur1210cm; Largeur; 1210cm; Hauteur152cm; Hauteur; 152cm,Airbags0; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisation; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant; Commandes vocales; Volant réglableHauteur",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jourLED; Feux de jour; LED; Pharesfull LED; Phares; full LED; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Sandero Streetway,1.0 TCe 100 Essentiel,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-0-tce-100-essentiel/18709.html,128.000DH,DACIA Sandero Streetway1.0 TCe 100 Essentiel neuve au Maroc - Fiche Technique,Mon comparatif,128.000DH ** Prix public,Motorisation1.0 TCe 100; Motorisation; 1.0 TCe 100; EnergieEssence; Energie; Essence; Puissance fiscale7cv; Puissance fiscale; 7cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture3 cylindres en ligne; Architecture; 3 cylindres en ligne; Cylindrée999cm³; Cylindrée; 999cm³; cm³; Couple maxi.160Nm,"Conso. ville6,4l/100 km; Conso. ville; 6,4l/100 km; l/100 km; Conso. route4,9l/100 km; Conso. route; 4,9l/100 km; Conso. mixte5,5l/100 km; Conso. mixte; 5,5l/100 km; Emission CO2140g/km; Emission CO2; 140g/km; g/km; Vitesse maxi.165km/h; Vitesse maxi.; 165km/h; km/h; Accélération 0-100 km/h14,2sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine; Carrosserie; Nombre de places5; Nombre de places; Poids à vide1.122kg; Poids à vide; 1.122kg; Longueur409cm; Longueur; 409cm; Largeur184cm; Largeur; 184cm; Hauteur150cm; Hauteur; 150cm; Empattement260cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Sandero Streetway,1.5 dCi 95 Essentiel,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-essentiel/18710.html,148.000DH,DACIA Sandero Streetway1.5 dCi 95 Essentiel neuve au Maroc - Fiche Technique,Mon comparatif,148.000DH ** Prix public,Motorisation1.5 dCi 95; Motorisation; 1.5 dCi 95; EnergieDiesel; Energie; Diesel; Puissance fiscale6cv; Puissance fiscale; 6cv; Transmission2 roues motrices ( 2WD ou 4x2 ); Transmission; 2 roues motrices ( 2WD ou 4x2 ); Architecture4 cylindres en ligne; Architecture; 4 cylindres en ligne; Cylindrée1.461cm³; Cylindrée; 1.461cm³; cm³; Couple maxi.220Nm,"Conso. ville5,5l/100 km; Conso. ville; 5,5l/100 km; l/100 km; Conso. route3,8l/100 km; Conso. route; 3,8l/100 km; Conso. mixte4,1l/100 km; Conso. mixte; 4,1l/100 km; Emission CO2109g/km; Emission CO2; 109g/km; g/km; Vitesse maxi.172km/h; Vitesse maxi.; 172km/h; km/h; Accélération 0-100 km/h13,9sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine; Carrosserie; Nombre de places5; Nombre de places; Poids à vide1.122kg; Poids à vide; 1.122kg; Longueur409cm; Longueur; 409cm; Largeur184cm; Largeur; 184cm; Hauteur150cm; Hauteur; 150cm; Empattement260cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Sandero Streetway,1.5 dCi 95 Expression,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-expression/18711.html,161.000DH,DACIA Sandero Streetway1.5 dCi 95 Expression neuve au Maroc - Fiche Technique,Mon comparatif,161.000DH ** Prix public,Motorisation1.5 dCi 95; Motorisation; 1.5 dCi 95; EnergieDiesel; Energie; Diesel; Puissance fiscale6cv; Puissance fiscale; 6cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture4 cylindres en ligne; Architecture; 4 cylindres en ligne; Cylindrée1.461cm³; Cylindrée; 1.461cm³; cm³; Couple maxi.220Nm,"Conso. ville5,5l/100 km; Conso. ville; 5,5l/100 km; l/100 km; Conso. route3,8l/100 km; Conso. route; 3,8l/100 km; Conso. mixte4,1l/100 km; Conso. mixte; 4,1l/100 km; Emission CO2109g/km; Emission CO2; 109g/km; g/km; Vitesse maxi.172km/h; Vitesse maxi.; 172km/h; km/h; Accélération 0-100 km/h13,9sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine; Carrosserie; Nombre de places5; Nombre de places; Poids à vide1.122kg; Poids à vide; 1.122kg; Longueur409cm; Longueur; 409cm; Largeur184cm; Largeur; 184cm; Hauteur150cm; Hauteur; 150cm; Empattement260cm,Airbags4; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnementArrière; Aide au stationnement; Arrière; Caméra de reculCaméra de recul",Jantes aluminium16 pouces; Jantes aluminium; 16 pouces; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jourLED; Feux de jour; LED; Pharesfull LED; Phares; full LED; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Sandero Streetway,1.5 dCi 95 Journey,https://www.wandaloo.com/neuf/dacia/sandero-streetway/fiche-technique/1-5-dci-95-journey/19742.html,169.000DH,DACIA Sandero Streetway1.5 dCi 95 Journey neuve au Maroc - Fiche Technique,Mon comparatif,169.000DH ** Prix public,Motorisation1.5 dCi 95; Motorisation; 1.5 dCi 95; EnergieDiesel; Energie; Diesel; Puissance fiscale6cv; Puissance fiscale; 6cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture4 cylindres en ligne; Architecture; 4 cylindres en ligne; Cylindrée1.461cm³; Cylindrée; 1.461cm³; cm³; Couple maxi.220Nm,"Conso. ville5,5l/100 km; Conso. ville; 5,5l/100 km; l/100 km; Conso. route3,8l/100 km; Conso. route; 3,8l/100 km; Conso. mixte4,1l/100 km; Conso. mixte; 4,1l/100 km; Emission CO2109g/km; Emission CO2; 109g/km; g/km; Vitesse maxi.172km/h; Vitesse maxi.; 172km/h; km/h; Accélération 0-100 km/h13,9sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine; Carrosserie; Nombre de places5; Nombre de places; Poids à vide1.122kg; Poids à vide; 1.122kg; Longueur409cm; Longueur; 409cm; Largeur184cm; Largeur; 184cm; Hauteur150cm; Hauteur; 150cm; Empattement260cm,Airbags4; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationauto.; Climatisation; auto.; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnementAvant et Arrière; Aide au stationnement; Avant et Arrière; Caméra de reculCaméra de recul",Jantes aluminium16 pouces; Jantes aluminium; 16 pouces; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jourLED; Feux de jour; LED; Pharesfull LED; Phares; full LED; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Logan,1.0 TCe 100 Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-essential/18701.html,135.000DH,DACIA Logan1.0 TCe 100 Essential neuve au Maroc - Fiche Technique,Mon comparatif,135.000DH ** Prix public,Motorisation1.0 TCe 100; Motorisation; 1.0 TCe 100; EnergieEssence; Energie; Essence; Puissance fiscale7cv; Puissance fiscale; 7cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture3 cylindres en ligne; Architecture; 3 cylindres en ligne; Cylindrée999cm³; Cylindrée; 999cm³; cm³; Couple maxi.160Nm,"Conso. ville6,4l/100 km; Conso. ville; 6,4l/100 km; l/100 km; Conso. route4,9l/100 km; Conso. route; 4,9l/100 km; Conso. mixte5,5l/100 km; Conso. mixte; 5,5l/100 km; Emission CO2127g/km; Emission CO2; 127g/km; g/km; Vitesse maxi.165km/h; Vitesse maxi.; 165km/h; km/h; Accélération 0-100 km/h14,2sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine tricorps; Carrosserie; Citadine tricorps; Nombre de places5; Nombre de places; Poids à vide1.012kg; Poids à vide; 1.012kg; Longueur435cm; Longueur; 435cm; Largeur173cm; Largeur; 173cm; Hauteur152cm; Hauteur; 152cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Logan,1.0 TCe 100 CVT Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-cvt-essential/18702.html,149.000DH,DACIA Logan1.0 TCe 100 CVT Essential neuve au Maroc - Fiche Technique,Mon comparatif,149.000DH ** Prix public,Motorisation1.0 TCe 100 CVT; Motorisation; 1.0 TCe 100 CVT; EnergieEssence; Energie; Essence; Puissance fiscale7cv; Puissance fiscale; 7cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture3 cylindres; Architecture; 3 cylindres; Cylindrée999cm³; Cylindrée; 999cm³; cm³; Couple maxi.142Nm,"Conso. ville6,8l/100 km; Conso. ville; 6,8l/100 km; l/100 km; Conso. route5,2l/100 km; Conso. route; 5,2l/100 km; Conso. mixte5,8l/100 km; Conso. mixte; 5,8l/100 km; Emission CO2135g/km; Emission CO2; 135g/km; g/km; Vitesse maxi.165km/h; Vitesse maxi.; 165km/h; km/h; Accélération 0-100 km/h14,2sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine tricorps; Carrosserie; Citadine tricorps; Nombre de places5; Nombre de places; Poids à vide1.012kg; Poids à vide; 1.012kg; Longueur435cm; Longueur; 435cm; Largeur173cm; Largeur; 173cm; Hauteur152cm; Hauteur; 152cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Logan,1.5 dCi 95 Essential,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-5-dci-95-essential/18705.html,152.000DH,DACIA Logan1.5 dCi 95 Essential neuve au Maroc - Fiche Technique,Mon comparatif,152.000DH ** Prix public,Motorisation1.5 dCi 95; Motorisation; 1.5 dCi 95; EnergieDiesel; Energie; Diesel; Puissance fiscale6cv; Puissance fiscale; 6cv; Transmission2 roues motrices ( 2WD ou 4x2 ); Transmission; 2 roues motrices ( 2WD ou 4x2 ); Architecture4 cylindres en ligne; Architecture; 4 cylindres en ligne; Cylindrée1.461cm³; Cylindrée; 1.461cm³; cm³; Couple maxi.220Nm,"Conso. ville5,5l/100 km; Conso. ville; 5,5l/100 km; l/100 km; Conso. route3,8l/100 km; Conso. route; 3,8l/100 km; Conso. mixte4,1l/100 km; Conso. mixte; 4,1l/100 km; Emission CO2106g/km; Emission CO2; 106g/km; g/km; Vitesse maxi.172km/h; Vitesse maxi.; 172km/h; km/h; Accélération 0-100 km/h13,9sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine tricorps; Carrosserie; Citadine tricorps; Nombre de places5; Nombre de places; Poids à vide1.012kg; Poids à vide; 1.012kg; Longueur435cm; Longueur; 435cm; Largeur173cm; Largeur; 173cm; Hauteur152cm; Hauteur; 152cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
1,Dacia Logan,1.0 TCe 100 CVT Expression,https://www.wandaloo.com/neuf/dacia/logan/fiche-technique/1-0-tce-100-cvt-expression/18703.html,160.000DH,DACIA Logan1.0 TCe 100 CVT Expression neuve au Maroc - Fiche Technique,Mon comparatif,160.000DH ** Prix public,Motorisation1.0 TCe 100 CVT; Motorisation; 1.0 TCe 100 CVT; EnergieEssence; Energie; Essence; Puissance fiscale7cv; Puissance fiscale; 7cv; Transmission2 roues motrices ( 4x2 ou 2WD ); Transmission; 2 roues motrices ( 4x2 ou 2WD ); Architecture3 cylindres en ligne; Architecture; 3 cylindres en ligne; Cylindrée999cm³; Cylindrée; 999cm³; cm³; Couple maxi.142Nm,"Conso. ville6,8l/100 km; Conso. ville; 6,8l/100 km; l/100 km; Conso. route5,2l/100 km; Conso. route; 5,2l/100 km; Conso. mixte5,8l/100 km; Conso. mixte; 5,8l/100 km; Emission CO2135g/km; Emission CO2; 135g/km; g/km; Vitesse maxi.165km/h; Vitesse maxi.; 165km/h; km/h; Accélération 0-100 km/h14,2sec.; Accélération 0-100 km/h",CatégorieCitadine; Catégorie; Citadine; CarrosserieCitadine tricorps; Carrosserie; Citadine tricorps; Nombre de places5; Nombre de places; Poids à vide1.012kg; Poids à vide; 1.012kg; Longueur435cm; Longueur; 435cm; Largeur173cm; Largeur; 173cm; Hauteur152cm; Hauteur; 152cm,Airbags2; Airbags; ABS; ESP; Antipatinage; Aide au freinage d'urgence; Antidémarrage électronique; Aide au démarrage en côte; Sélecteur de mode de conduite; Détection de fatigue; Maintien dans la voie; Détecteur d'angle mort; Détecteur de sous-gonflage; Fermeture de portes auto.; Préparation ISOFIX; Phares antibrouillard; Système d'alarme,"Climatisationmanuelle; Climatisation; manuelle; Système audioRadio, USB; Système audio; Radio, USB; Ordinateur de bord; Start & Stop; Régulateur de vitesse; Détecteur de pluie; Allumage auto. des feux; Frein à main électrique; Ecran tactile; Cockpit digital; Reconnaissance de panneaux; Affichage Tête-Haute; Aide au stationnement; Caméra de recul; Park Assist Auto.; Commandes au volant",Jantes aluminium; SellerieTissu; Sellerie; Tissu; Volant cuir; Follow-me home; Lumière d'ambiance; Feux de jour; PharesStandard; Phares; Standard; ToitRigide; Toit; Rigide; Barres de toit; Vitres sur-teintées
